Date,Open,High,Low,Close,Volume
19-10-1995,1.1487,1.1563,1.1128,1.1128,263516383
20-10-1995,1.1283,1.1283,1.1078,1.1245,107741667
23-10-1995,1.1245,1.1245,1.1128,1.1245,55163953
24-10-1995,1.1371,1.1371,1.1167,1.1245,59539957
25-10-1995,1.1283,1.1331,1.1128,1.1128,37175769
26-10-1995,1.1167,1.1206,1.1038,1.1167,35101775
27-10-1995,1.1167,1.1167,1.0924,1.1128,43007326
30-10-1995,1.1167,1.1283,1.1078,1.1283,48982574
31-10-1995,1.1283,1.1718,1.1245,1.1628,80657893
01-11-1995,1.1718,1.1884,1.1371,1.1718,53889572
02-11-1995,1.1808,1.1808,1.1601,1.1718,42601293
03-11-1995,1.1768,1.1808,1.1487,1.1679,50041442
06-11-1995,1.1679,1.2407,1.1655,1.2204,86948593
07-11-1995,1.2089,1.2959,1.2013,1.2677,205366358
08-11-1995,1.273,1.3126,1.2407,1.2446,100070370
09-11-1995,1.273,1.2808,1.2446,1.2614,72539934
10-11-1995,1.2614,1.2883,1.2446,1.273,62223042
13-11-1995,1.2883,1.3202,1.2808,1.3089,88510346
14-11-1995,1.3126,1.3599,1.3126,1.3294,113582597
15-11-1995,1.3447,1.3447,1.2844,1.3126,69200928
16-11-1995,1.3089,1.3294,1.2653,1.278,63091376
17-11-1995,1.2808,1.2933,1.273,1.2844,35845177
20-11-1995,1.2883,1.2883,1.2321,1.2361,41401861
21-11-1995,1.2407,1.2407,1.2128,1.2361,53436657
22-11-1995,1.2361,1.2562,1.2321,1.2361,27555435
24-11-1995,1.2446,1.2933,1.2407,1.2859,30663293
27-11-1995,1.2998,1.2998,1.2614,1.2614,32315636
28-11-1995,1.2614,1.2844,1.2562,1.2808,49163738
29-11-1995,1.2844,1.2844,1.2485,1.2562,29357682
30-11-1995,1.2446,1.2485,1.2167,1.2204,48763925
01-12-1995,1.2167,1.2241,1.1884,1.2037,56950593
04-12-1995,1.2844,1.2844,1.2485,1.2653,134053948
05-12-1995,1.2321,1.2768,1.2241,1.2653,101400980
06-12-1995,1.273,1.2768,1.2294,1.2407,56085400
07-12-1995,1.2407,1.2407,1.2128,1.2347,39580867
08-12-1995,1.2407,1.2614,1.2128,1.2614,39421571
